PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
54,844 Eastern,Off-Site (140 m south),#10 - Commercial Autobody,"Avenue Off-Site 140 m south Shops Based on City Directory, the property was occupied by Kuli Auto Machine Shop in 1960. None",Located downgradient.,CD
55,845 Eastern,Off-Site (140 m south),"#49 - Salvage Yard, Including","Avenue Off-Site 140 m south Automobile Wrecking Based on City Directory, the property was occupied by Eastern Avenue Auto Wreckers from 1936 to 1940. None",Located downgradient.,CD
56,Eastern Avenue,Off-Site (140 m south),"#49 - Salvage Yard, Including","846 to 850 Off-Site 140 m south Automobile Wrecking Based on City Directory, 846 Eastern Avenue was occupied by Eastern Auto Wreckers from 1955 to 1965, Sam's Salvage & Auto Wreckers in 1970. None. Activity (In relation to Site)1 Based on City Directory, 850 Eastern Avenue was occupied by Eastern Auto Wreckers in 1960",Located downgradient.,CD
57,29 to 49 Leslie,Off-Site (145 m southwest),#55 - Transformer,"Street Off-Site 145 m southwest Manufacturing, Processing and Use Based on FIP from 1965, a transformer at Telford & Craddock Printers Ltd was observed. None",Located downgradient.,FIP
58,835 Eastern,Off-Site (145 m south),"#49 - Salvage Yard, Including","Avenue Off-Site 145 m south Automobile Wrecking Based on City Directory, the property was occupied by Western Iron & Metal Co Yard in 1955. None",Located downgradient.,CD
59,1348 Queen,Off-Site (150 m east),#28 - Gasoline and Associated,"Street East Off-Site 150 m east Products Storage in Fixed Tanks Based on FIPs from 1934 and 1965, an service station or auto service and two USTs were observed. Based on ERIS, the property was occupied by Shell Oil Co of Canada Ltd and had a record of two (2) gasoline tanks in 1928. The property was listed as having operation of gasoline service station. Based on City Directory, the property was occupied by Shell Gas Service Station from 1925 to 1936, Sconner Service Station in 1940, Green Service Station from 1945 to 1955, March Ronald Service Station in 1965 and Queen Shell Service Station in 1965. None",Inferred trans- gradient.,ERIS
60,849 Eastern,Off-Site (150 m south),#55 - Transformer,"Avenue Off-Site 150 m south Manufacturing, Processing and Use Based on ERIS, the property was occupied by Toronto District School Board, had five (5) records of askarel stored for disposal from 1992 to 1998 and six (6) records of ballasts with high level PCBs, other material with high level PCBs from 1995 to 2003, three (3) records of transfer station, PCB storage site from 1987 to 2008. None",Located downgradient.,ERIS
61,17 Leslie Street,Off-Site (150 m southwest),"#39 - Paints Manufacturing,","Off-Site 150 m southwest Processing and Bulk Storage Based on FIP from 1934, Sherwin-William Co of Canada Limited was observed including paint storage, property used coal as fuel. None",Located downgradient.,FIP
62,17 Leslie Street,Off-Site (150 m southwest),#9 - Coal Gasification,Activity (In relation to Site)1,,Other
63,27 Leslie Street,Off-Site (150 m southwest),#28 - Gasoline and Associated,"Off-Site 150 m southwest Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Moffatt Oil Co and had three (2) records of a gasoline tank in 1928 and 1929 and two (2) gasoline tanks in 1928. The property was listed as having operation of gasoline service station. None",Located downgradient.,ERIS
64,127 Sears,Off-Site (150 m southeast),#10 - Commercial Autobody,"Street Off-Site 150 m southeast Shops Based on City Directory, the property was occupied by Bumper's Auto Body in 1980. None",Located downgradient.,CD
65,Eastern Avenue,Off-Site (150 m southeast),#32 - Iron and Steel,"857 to 859 Off-Site 150 m southeast Manufacturing and Processing Based on City Directory, the property was occupied by Eastern Iron & Metal Co from 1936 to 1960, Auto wreckers Supply Co from 1945 to 1960, Continental Chemical Co from 1945 to 1955. None",Located downgradient.,CD
66,Eastern Avenue,Off-Site (150 m southeast),"#49 - Salvage Yard, Including",Automobile Wrecking,,Other
67,Eastern Avenue,Off-Site (150 m southeast),"#8 - Chemical Manufacturing,",Processing and Bulk Storage,,Other
68,Eastern Avenue,Off-Site (150 m southeast),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on City Directory, the property was occupied by the Department of Works Toronto Central Maintenance Garage in 1970.",,CD
69,1200 Queen,Off-Site (160 m west),#28 - Gasoline and Associated,"Street East Off-Site 160 m west Products Storage in Fixed Tanks Based on ERIS, the property was occupied by 2415858 Ontario Inc, 1031268 Ontario Inc and had a record of three (3) records of a single wall gasoline UST in 1974, two (2) records of three (3) single wall USTs in 2007 and 2008, two (2) records of a retail storage tank in 1995. None",Inferred trans- gradient.,ERIS
70,29 Marigold,Off-Site (160 m southwest),"#52 - Storage, Maintenance,","Avenue Off-Site 160 m southwest Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on FIP from 1965, truck repairs and an UST were observed. None. Activity (In relation to Site)1",Located downgradient.,FIP
71,29 Marigold,Off-Site (160 m southwest),#28 - Gasoline and Associated,Products Storage in Fixed Tanks,,Other
72,865 Eastern,Off-Site (160 m southeast),#59 - Wood Treating and,"Avenue Off-Site 160 m southeast Preservative Facility and Bulk Storage of Treated and Preserved Wood Products Based on City Directory, the property was occupied by Buchman Lumber Co in 1955. None",Located downgradient.,CD
73,867 Eastern,Off-Site (160 m southeast),#10 - Commercial Autobody,"Avenue Off-Site 160 m southeast Shops Based on City Directory, the property was occupied by Central Auto Works from 1936 to 1955, Norther Plating So in 1955, G & G Sheet Metal Ltd from 1960 to 1965. None",Located downgradient.,CD
74,867 Eastern,Off-Site (160 m southeast),"#33 - Metal Treatment,","Coating, Plating and Finishing",,Other
75,870 Eastern,Off-Site (160 m southeast),"#33 - Metal Treatment,","Avenue Off-Site 160 m southeast Coating, Plating and Finishing Based on City Directory, the property was occupied by Deca Manufacturing TV Antennas from 1955 to 1960. None",Located downgradient.,CD
76,802 Eastern,Off-Site (170 m southwest),#28 - Gasoline and Associated,"Avenue Off-Site 170 m southwest Products Storage in Fixed Tanks Based on FIP from 1965, an auto service and an UST were observed. Based on ERIS, the property was occupied by Canadian Oil Companies Ltd and had five (5) records of two (2) gasoline tanks in 1928 and 1936, a gasoline tank in 1929 and 1931. The property was listed as having operation of gasoline service station. Based on City Directory, was occupied by Ruston Service Station & Garage from 1955 to 1960, Sloan's Moe White Rose Service Station in 1965, Milton Shell Service Station in 1970 and Towing M W Ltd in 1975. None",Located downgradient.,ERIS
77,802 Eastern,Off-Site (170 m southwest),#10 - Commercial Autobody,Shops,,Other
78,802 Eastern,Off-Site (170 m southwest),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems",,Other
79,1205 Queen,Off-Site (170 m west),#28 - Gasoline and Associated,"Street East Off-Site 170 m west Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Sexton [George], Daly [R] and had three (3) records of a gasoline pump and a gasoline tank and pump in 1923. The property was listed as having operation of gasoline service station. None. Activity (In relation to Site)1",Inferred trans- gradient.,ERIS
80,Queen Street,Off-Site (180 m east),#10 - Commercial Autobody,"1343 to 1347 East Off-Site 180 m east Shops Based on FIP from 1965, an auto repairs, body shop and an UST were observed. Based on ERIS, 1345 Queen Street East was occupied by Sherriff Bros and Creeny James and had two records of a gasoline tank and a fuel oil tank in 1920 and 1924. Based on ERIS, 1347 Queen Street East was occupied by McBride & Creeney and had two (2) records of a gasoline tank and gasoline pump in 1924 and 1931. Based on City Directory, the property was occupied by M & C Garage & Service Station from 1925 to 1945, Queen Motors in 1950, Leader Messenger Service, Mokry's Service Station, Bohl Garage in 1955, Laimon's Service Station in 1960, Sammy's Motor and Repair Shop in 1970, Blue Sky Body Shop from 1975 to 1985/86, Sammy's Auto Body in 1975, Salim Auto Repairs in 1985/86, Blue Sky Body Shop, Phoenix Auto Glass & Trim, Hariff Auto Repair and MK Automotive Service in 1999. None",Inferred trans- gradient.,ERIS
81,Queen Street,Off-Site (180 m east),#28 - Gasoline and Associated,Products Storage in Fixed Tanks,,Other
82,112 Knox,Off-Site (180 m east),#28 - Gasoline and Associated,"Avenue Off-Site 180 m east Products Storage in Fixed Tanks Based on FIP from 1934, a service station with two (2) 500 gallons USTs were observed. None",Inferred trans- gradient.,FIP
83,106 Knox,Off-Site (180 m east),"#49 - Salvage Yard, Including","Avenue Off-Site 180 m east Automobile Wrecking Based on ERIS, the property was occupied by Peterson's Truck Parts and had two (2) records of automobile parts and supplies used and rebuilt. Based on City Directory, the property was occupied by Peterson's Garage in 1980. None",Inferred trans- gradient.,ERIS
84,106 Knox,Off-Site (180 m east),#10 - Commercial Autobody,Shops,,Other
85,1352 Queen,Off-Site (190 m east),#28 - Gasoline and Associated,"Street East Off-Site 190 m east Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Shell Oil Co of Canada Ltd and had a record of two (2) gasoline tanks in 1933. The property was listed as having operation of gasoline service station. None. Activity (In relation to Site)1",Inferred trans- gradient.,ERIS
86,873 Eastern,Off-Site (190 m southeast),#10 - Commercial Autobody,"Avenue Off-Site 190 m southeast Shops Based on FIP from 1965, an auto repair shop was observed. Based on City Directory, the property was occupied by Central Auto Body from 1960 to 1999, Wecsey Geo Machine Shop from 1960 to 1970. None",Located downgradient.,FIP
87,873 Eastern,Off-Site (190 m southeast),"#33 - Metal Treatment,","Coating, Plating and Finishing",,Other
88,882 Eastern,Off-Site (190 m southeast),#10 - Commercial Autobody,"Avenue Off-site 190 m southeast Shops Based on ERIS, the property was occupied by Michael & Michael Auto Body Ltd, obtained a certificate of air in",,ERIS
89,855 Eastern,Off-Site (200 m south),"#52 - Storage, Maintenance,","Avenue Off-Site 200 m south Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on FIP from 1965, Corporation of the City of Toronto Central Maintenance Garage including general repairs, body shop, welding shop, paint shop, tire shop was observed. None",Located downgradient.,FIP
90,875 Eastern,Off-Site (210 m southeast),"#52 - Storage, Maintenance,","Avenue Off-Site 210 m southeast Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on ERIS, the property was occupied by Corporation of the City of Toronto and was listed as a waste generator of petroleum distillates, oil skimmings and sludges, waste oils and lubricants, aliphatic solvents and residues, waste crankcase oils and lubricants from 1995 to 2016. The property was listed as having operation of general automotive repair. None",Located downgradient.,ERIS
91,875 Eastern,Off-Site (210 m southeast),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Godfon welding Co in 1955, Canadian Pipe & Steel Fabricators from 1970 to 1975.",,CD
92,875 Eastern,Off-Site (210 m southeast),#34 - Metal Fabrication,,,Other
93,101 Knox,Off-Site,#57 - Vehicles and Associated,"Avenue Parts Manufacturing Based on FIP from 1965, an autos drapery manufacturer was observed. None",Activity (In relation to Site)1 210 m southeast Located downgradient.,FIP
94,71 Alton,Off-Site (220 m north),#58 - Waste Disposal and,"Avenue Off-Site 220 m north Waste Management, Including Thermal Treatment, Landfilling and Transfer of Waste, Other Than Use of Biosoils as Soil Conditioners Based on ERIS, the property was listed as dump in 1956 and requested Toronto to dump two (2) loads of leaves at the rear of the house. None",Located at significant distance.,ERIS
95,780 Eastern,Off-Site (220 m southwest),#28 - Gasoline and Associated,"Avenue Off-Site 220 m southwest Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Imperial Oil co Ltd and had a record of a service station addition and alteration in 1935. The property was listed as having operation of gasoline service station. None",Located downgradient.,ERIS
96,136 Sears,Off-Site (220 m southeast),"#33 - Metal Treatment,","Street Off-Site 220 m southeast Coating, Plating and Finishing Based on ERIS, the property was occupied by Anronn Electric Motor Repairs Ltd and was listed as having operations of commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance, internal combustion engines, armature rewinding shops, other engine and power transmission equipment manufacturing in 1971. None",Located downgradient.,ERIS
97,74 Hasting,Off-Site (230 m north),#28 - Gasoline and Associated,"Avenue Off-Site 230 m north Products Storage in Fixed Tanks Based on ERIS, the propertyhad a record of two (2) fuel tanks in 1932. None",Located at significant distance.,ERIS
98,Eastern Avenue,Off-Site (230 m southeast),#9 - Coal Gasification,"884 to 886 Off-Site 230 m southeast Based on City Directory, the property was occupied by Simpson & Shields Coal Co from 1936 to 1945, Baxter Coal Co in 1950, Toronto Coppersmithing Co from 1955 to",,CD
99,Eastern Avenue,Off-Site (230 m southeast),"#33 - Metal Treatment,","Coating, Plating and Finishing Activity (In relation to Site)1",,Other
100,1359 Queen,Off-Site (240 m east),#10 - Commercial Autobody,"Street East Off-Site 240 m east Shops Based on FIP from 1965, an auto body repair shop was observed. None",Inferred trans- gradient.,FIP
101,1183 Queen,Off-Site (250 m west),#28 - Gasoline and Associated,"Street East Off-Site 250 m west Products Storage in Fixed Tanks Based on FIP from 1965, an auto service station and an UST were observed. Based on ERIS, the property was occupied by R A Nash, Nash Garage Ltd, Nash [William], Nash Battery & Service Garage and had ten (10) records of expired fuel tank 2001 and a retail storage tank in 1995, two (2) records of a gasoline tank and three (3) gasoline tanks in 1926 and 1934. The property was listed as having operations of full serve gasoline station, oil and natural gas service stations. None",Inferred trans- gradient.,ERIS
1970,Eastern Avenue,Off-Site (230 m southeast),,None,Located downgradient.,Other
1970,60 Leslie Street,Off-Site (120 m west),,,Inferred trans- gradient.,Other
2003,882 Eastern,Off-Site (190 m southeast),,"Based on City Directory, the property was occupied by Apex Auto Body Co from 1955 to 1960, Ivan's Auto Parts & Service Ltd from 1965 to 1975, Unit Auto Body in 1980, Michael & Michael Auto Body Ltd from 1985/86 to 1999. None",Located downgradient.,CD
