PCA Identifier,Address,Location of Activity (In relation to Site),Potentially Contaminating Activity (PCA),Description and Approximate timeline,Contribution to APEC at the Site
11,"700 Progress Avenue, Scarborough ON M1H 2Z7",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–2010",Potential
12,"700 Progress Avenue, Unit 13, SCARBOROUGH ON M1H 2Z7",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1999–2004",Potential
13,"700 Progress Avenue, Unit 13SCARBOROUGH",Near Site,#19 – Electronic and Computer Equipment Manufacturing,30.5155.5Expert Circuits Inc.              14-191; at 700 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); records 2000–2010,Potential
14,"700 Progress Avenue, Unit 13SCARBOROUGH",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","30.5155.5Expert Circuits Inc.              14-191; at 700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 2000–2010",Potential
15,"700 Progress Avenue, Unit 5Scarborough",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 700 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
16,"700 Progress Avenue, Unit 5Scarborough",Near Site,"#33 – Metal Treatment, Coating, Plating and Finishing","30.5-3.77p-73-802108709-xm7ddd-GEN-800869845-aaEXPERT CIRCUITS INC; at 700 Progress Avenue; (PCA: Metal Treatment, Coating, Plating and Finishing); record 2010",Potential
17,"700 Progress Avenue, Unit S",Near Site,#19 – Electronic and Computer Equipment Manufacturing,20170208162SiteAddressDistance (m)Map KeyALL-LIFT (SCARBOROUGH) LIMITED; at 700 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
18,"700 Progress Avenue, Unit S",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
19,705 Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 705 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1999–2005",Potential
20,705 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 705 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1999–2005",Potential
21,"705 Progress Avenue, Unit 10SCARBOROUGH",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
22,"705 Progress Avenue, Unit 15SCARBOROUGH",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","20170208162SiteAddressDistance (m)Map KeyA.G. SIMPSON CO LIMITED; at 705 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage)",Potential
23,"705 Progress Avenue, Unit 15dd-GEN-800861102-bbp-800861102-y",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","172.3157.5Rodney-Spencer Graphics Inc; at 705 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
24,"705 Progress Avenue, Unit 15dd-GEN-800861102-bbp-800861102-y",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","172.3157.5Rodney-Spencer Graphics Inc; at 705 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
25,"705 Progress Avenue, Unit 28Scarborough",Near Site,#19 – Electronic and Computer Equipment Manufacturing,20170208162SiteAddressDistance (m)Map KeyHoffman Enclosures Inc. 111 Grangeway Ave Suite 504Scarborough ON M1H 3E9  65.8m-12-800343301-a ORGANON CANADA LTD. 200 CONSILIUM PL SUITE 700SCARBOROUGH ON M1H 3E4  70.1m-13-271036-a Go 4 Color Cards Inc; at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
26,"705 Progress Avenue, Unit 38Scarborough",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); record 3913,Potential
27,"705 Progress Avenue, Unit 39Scarborough",Near Site,#19 – Electronic and Computer Equipment Manufacturing,172.3-1.79p-171-800872551-xm37ddd-GEN-800861102-aaRODNEY-SPENCER GRAPHICS INC; at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
28,"705 Progress Avenue, Unit 39Scarborough",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","172.3-1.79p-171-800872551-xm37ddd-GEN-800861102-aaRODNEY-SPENCER GRAPHICS INC; at 705 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage)",Potential
29,"705 Progress Avenue, Unit 46SCARBOROUGH",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
30,"705 Progress Avenue, Unit 55Scarborough",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
31,"705 Progress Avenue, Unit 63SCARBOROUGH",Near Site,#19 – Electronic and Computer Equipment Manufacturing,at 705 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
32,"710 Progress Avenue, Unit 12Scarborough",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","90.0152.0Modu-Tronics Inc; at 710 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); record 2006",Potential
33,"710 Progress Avenue, Unit 12Scarborough",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","90.0152.0Modu-Tronics Inc; at 710 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); record 2006",Potential
34,"710 Progress Avenue, Unit 9, SCARBOROUGH ON M1H 2X3",Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 710 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1997–2001",Potential
35,721 Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 721 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 2006–2008",Potential
36,721 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 721 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 2006–2008",Potential
37,"727 Progress Avenue, Unit AScarborough",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 727 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1996–2001",Potential
38,"727 Progress Avenue, Unit AScarborough",Near Site,#43 – Plastics (including Fibreglass) Manufacturing and Processing,at 727 Progress Avenue; (PCA: Plastics (including Fibreglass) Manufacturing and Processing); records 1996–2001,Potential
39,7700 Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 7700 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
40,8675 Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 8675 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); record 2087",Potential
41,"8675 Progress Avenue, Toronto ON M1H 2W9",Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 8675 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage)",Potential
42,Progress Avenue,Near Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","(PCA: Paints Manufacturing, Processing and Bulk Storage); record 3912",Potential
43,Progress Avenue,Near Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","(PCA: Solvent Manufacturing, Processing and Bulk Storage); record 3912",Potential
44,670 Progress Avenue,On-Site,#19 – Electronic and Computer Equipment Manufacturing,at 670 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); records 1999–2001,Potential
45,670 Progress Avenue,On-Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","Anro Electric; at 670 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 2002–2008",Potential
46,670 Progress Avenue,On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","Anro Electric; at 670 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 2002–2008",Potential
47,"670 Progress Avenue, SCARBOROUGH ON M1H 3A4",On-Site,#19 – Electronic and Computer Equipment Manufacturing,at 670 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); record 3912,Potential
48,"670 Progress Avenue, SCARBOROUGH ON M1H 3A4",On-Site,#43 – Plastics (including Fibreglass) Manufacturing and Processing,at 670 Progress Avenue; (PCA: Plastics (including Fibreglass) Manufacturing and Processing); record 3912,Potential
49,"670 Progress Avenue, Unit 1",On-Site,#19 – Electronic and Computer Equipment Manufacturing,Anro Electric; at 670 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
50,"670 Progress Avenue, Unit 1, Scarborough ON M1H 3A4",On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 670 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); record 3912",Potential
51,"670 Progress Avenue, Unit 8SCARBOROUGH",On-Site,#43 – Plastics (including Fibreglass) Manufacturing and Processing,at 670 Progress Avenue; (PCA: Plastics (including Fibreglass) Manufacturing and Processing),Potential
52,675 Progress Avenue,On-Site,#19 – Electronic and Computer Equipment Manufacturing,at 675 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing),Potential
53,675 Progress Avenue,On-Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 675 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); record 3913",Potential
54,675 Progress Avenue,On-Site,#43 – Plastics (including Fibreglass) Manufacturing and Processing,at 675 Progress Avenue; (PCA: Plastics (including Fibreglass) Manufacturing and Processing),Potential
55,675 Progress Avenue,On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 675 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); record 3913",Potential
56,"675 Progress Avenue, TORONTO ON M1H 2W9",On-Site,"#39 – Paints Manufacturing, Processing and Bulk Storage","at 675 Progress Avenue; (PCA: Paints Manufacturing, Processing and Bulk Storage); records 1986–1990",Potential
57,"675 Progress Avenue, TORONTO ON M1H 2W9",On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 675 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1986–1990",Potential
58,680 Progress Avenue,On-Site,#19 – Electronic and Computer Equipment Manufacturing,0.0157.8Modu-Tronics Inc; at 680 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); records 1992–1998,Potential
59,680 Progress Avenue,On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","0.0157.8Modu-Tronics Inc; at 680 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
60,690 Progress Avenue,On-Site,#19 – Electronic and Computer Equipment Manufacturing,"Progress Consilium Developments Limited Draft Phase One Environmental Site Assessment 670, 680; at 690 Progress Avenue; (PCA: Electronic and Computer Equipment Manufacturing); records 1960–2019",Potential
61,"690 Progress Avenue, Unit 10, SCARBOROUGH ON M1H 3A6",On-Site,"#51 – Solvent Manufacturing, Processing and Bulk Storage","at 690 Progress Avenue; (PCA: Solvent Manufacturing, Processing and Bulk Storage); records 1992–1998",Potential
