pca_identifier,address,location_relation_to_site,pca_number,pca_name,description_timeline,source_pages
13,680 Progress Avenue,On-Site,52,"Storage, maintenance, fuelling and repair of equipment, vehicles, and material used to maintain transportation systems","Amberwood Htg & Air Conditioning (1991); Gerrit’s Heating & Air Conditioning (1991, 1985/86); Algate Construction Ltd (1985/86); Magnolia Builders (1985/86)",247-256
14,680 Progress Avenue,On-Site,54,Textile Manufacturing and Processing,Galactic Knitting Ltd (1991),247-256
15,680 Progress Avenue,On-Site,45,"Pulp, Paper and Paperboard Manufacturing and Processing",Dominion Blank Book Co Ltd (1980); Savoy Business Forms Ltd (1980),247-256
16,"690 PROGRESS AVENUE, UNIT 10 SCARBOROUGH ON M1H 3A6",On-site,19,Electronic and Computer Equipment Manufacturing,CREST CIRCUIT COMPANY LIMITED (OUT OF BUS): A waste generator (GEN) from 1986-1998 for electrical parts and components. Wastes included acid/alkaline wastes with heavy metals and halogenated solvents.,1-67
17,"690 Progress Avenue, Unit 14 Toronto ON M1H 2X3",On-site,59,Wood Treating and Preservative Facility and Bulk Storage of Treated and Preserved Wood Products,Macusi Wood Products: Site of a spill (SPL) of an unknown quantity of waste oil to the ground in 2011.,1-67
18,"651 PROGRESS AVE., UNIT 1 SCARBOROUGH ON M1H 2W8",S/25.4m,31,"Ink Manufacturing, Processing and Bulk Storage",LABELCRAFT PRODUCTS LTD.: A waste generator (GEN) from 1986-1998 for commercial printing. Wastes included paint/coating residues and halogenated solvents.,1-67
19,700 Progress Avenue Toronto ON,ENE/30.5m,19,Electronic and Computer Equipment Manufacturing,"Quick Circuits Inc. / EXPERT CIRCUITS INC.: Identified in CA, EBR, ECA, GEN, and SCT databases for circuit manufacturing. Certificates of Approval issued 2006-2010. Waste generator from 1992-1998.; QUICK CIRCUITS INC. and EXPERT CIRCUITS INC. operated as electronic parts and components manufacturers, generating acid, alkaline, and solvent wastes. Records from 1992-2016.",1-67;68-162
20,700 Progress Avenue Toronto ON,ENE/30.5m,31,"Ink Manufacturing, Processing and Bulk Storage",A+A Graphics Canada Inc: Identified in EBR and ECA databases with an Environmental Registry proposal in 2011 for air discharge.; Lema Printing Services Inc. operated a printing facility. Records from 1996.,1-67;68-162
21,700 PROGRESS AVE. UNIT #10 SCARBOROUGH ON M1H 2Z7,ENE/30.5m,34,Metal Fabrication,"ABILITY MACHINE AND MFG. INC. (OUT OF BUSINESS): A waste generator (GEN) from 1993-1998.; ABILITY MACHINE AND MFG. INC. and CRITICAL MACHINING operated as machine shops, generating petroleum distillate waste. Records from 1992-1998.",1-67;68-162
22,700 PROGRESS AVE. UNIT 15-16 SCARBOROUGH ON M1H 2Z7,ENE/30.5m,33,"Metal Treatment, Coating, Plating and Finishing","BRITE PLATING LTD.: A waste generator (GEN) from 1993-1998.; BRITE PLATING LTD. operated a metal coating facility, generating neutralized heavy metal wastes. Records from 1992-1998.",1-67;68-162
23,"700 Progress Ave, Toronto ON",ENE/30.5,26,Foam and Expanded Foam Manufacturing and Processing,"INNOVATIVE CHOICES operated as a foamed and expanded plastics business, generating solvent and polymeric wastes. Records from 1996-2001.",68-162
24,"700 Progress Ave, Toronto ON",ENE/30.5,54,Textile Manufacturing and Processing,CANADIAN STARS SPORTSWEAR INC. and Gold-Tex Garment Manufacturing operated as clothing manufacturers. Records from 1998.,68-162
25,710 PROGRESS AVENUE SCARBOROUGH ON M1H 2X3,ENE/90.0m,57,Vehicles and Associated Parts Manufacturing,MODU-TRONICS INC (OUT OF BUSINESS): A waste generator (GEN) from 1989-1998 for 'OTHER VEHICLE ACCES.' (accessories). Waste included halogenated solvents.; MODU-TRONICS INC manufactured vehicle accessories and generated halogenated solvents and waste oils. Records from 1986-1998.,1-67;68-162
26,"710 Progress Avenue, Scarborough ON M1H 2X3",ENE/90.0,33,"Metal Treatment, Coating, Plating and Finishing",HOPE PRO REFINISHING generated aromatic solvent wastes. GEN record from 2015.,68-162
27,"710 Progress Avenue, Scarborough ON M1H 2X3",ENE/90.0,31,"Ink Manufacturing, Processing and Bulk Storage","GINO PRINTING INC. and LEMA PRINTING SERVICES INC. operated printing facilities, generating petroleum distillates and graphic art wastes. Records from 1997-2006.",68-162
28,675 Progress Avenue Scarborough ON M1H 2W9,SSE/146.7m,57,Vehicles and Associated Parts Manufacturing,"A.G. SIMPSON CO. LTD. / A.G. Simpson Automotive Inc.: A major industrial facility with extensive records (CA, EBR, GEN, NPRI, OPCB, PRT, REC, SPL, SCT) from at least 1986. Activities include manufacturing, fuel storage, waste generation, and pollutant releases.; A.G. Simpson Co. Ltd. operated a motor vehicle parts manufacturing facility, including metal stamping. Numerous records from 1947-2014.; A.G. Simpson Automotive Inc. / A.G. SIMPSON CO. LTD., an automotive parts company, had multiple spills including 20L of oil (4/24/2015) and 23L of gear oil (10/3/2000).",1-67;68-162;163-246
29,"675 Progress Avenue, Scarborough ON M1H 2W9",SE/157.2,33,"Metal Treatment, Coating, Plating and Finishing","A.G. Simpson Co. Ltd. conducted coating, heat treating, and welding activities, generating related wastes and air emissions. Records from 1998-2013.",68-162
30,"675 Progress Avenue, Scarborough ON M1H 2W9",SE/157.2,8,"Chemical Manufacturing, Processing and Bulk Storage","A.G. Simpson Co. Ltd. used and generated waste from various chemicals including hydrochloric acid, sulphuric acid, and various solvents. Records from 1986-2013.",68-162
31,"675 Progress Avenue, Scarborough ON M1H 2W9",SE/157.2,55,"Transformer Manufacturing, Processing and Use","A.G. Simpson Co. Ltd. was a registered PCB storage site, with records of Askarel, capacitors, and other PCB wastes. Records from 1991-2013.",68-162
32,"675 Progress Avenue, Scarborough ON M1H 2W9",SE/157.2,28,Gasoline and Associated Products Storage in Fixed Tanks,"A G SIMPSON held a retail fuel license for a 3600L tank, with an expiry date of 1993.",68-162
33,675 PROGRESS AVENUE,SE/157.2,1,"Acid and Alkali Manufacturing, Processing and Bulk Storage",A.G. SIMPSON CO. LTD. had a spill of 200L of Hydrochloric Acid to the ground and catch-basin on 3/18/1992.,163-246
34,675 PROGRESS AVENUE,SE/157.2,39,"Paints Manufacturing, Processing and Bulk Storage","A.G. SIMPSON CO. LTD. had a spill of 2,250 L of paint to the ground and sewer, reported on 4/12/1991.",163-246
35,300 Consilium Pl Suite 800 Scarborough ON,W/157.9m,32,Iron and Steel Manufacturing and Processing,"Co-Steel Inc.: Identified in the Scott's Manufacturing Directory (SCT).; Co-Steel Inc. listed with SIC/NAICS code 331110 for Iron and Steel Mills and Ferro-Alloy Manufacturing, established in 1973.",1-67;163-246
36,300 Consilium Place,W/157.9,42,Pharmaceutical Manufacturing and Processing,Organon Canada Ltd. listed as a Pharmaceuticals and Pharmacy Supplies Wholesaler-Distributors.,163-246
37,300 Consilium Place,W/157.9,34,Metal Fabrication,BICC CABLES COMPANY listed with SIC/NAICS code 3357 for Drawing and Insulating of Nonferrous Wire.,163-246
38,300 Consilium Place,W/157.9,28,Gasoline and Associated Products Storage in Fixed Tanks,"Oxford Properties Group reported a 100 L diesel fuel spill on 8/15/2003, likely from a fixed tank for backup generators or heating.",163-246
39,705 Progress Ave. Unit 13 & 14 Scarborough ON M1H 2X1,ESE/172.3m,39,"Paints Manufacturing, Processing and Bulk Storage","Akzo Nobel Coatings Ltd: A waste generator (GEN) with approval years from 2002-2008.; GRASEBY GORING KERR CANADA INC generated paint/pigment/coating residues waste from 1993-1999.; Akzo Nobel Coatings Ltd, a paint store, generated paint/pigment/coating residues from 2004-2006.",1-67;163-246
40,705 Progress Ave unit # 17,ESE/172.3,33,"Metal Treatment, Coating, Plating and Finishing","Bestwind Industries LTD, a fabricated metal product manufacturer, generated acid and alkaline wastes with heavy metals in years 2004-2016.",163-246
41,"705 PROGRESS AVENUE, UNIT 25",ESE/172.3,34,Metal Fabrication,"MAILCRAFTERS CANADA INC. operated as a machine shop (SIC 3081) and generated petroleum distillates waste from 1995-2005.; Die-X-Limited listed with SIC code for Other Metalworking Machinery Manufacturing, established in 1987.",163-246
42,"705 PROGRESS AVENUE, UNIT 63",ESE/172.3,51,"Solvent Manufacturing, Processing and Bulk Storage",GRASEBY GORING KERR CANADA INC generated halogenated solvents waste from 1993-1999.; Akzo Nobel Coatings Ltd generated aromatic solvents waste from 2004-2006.,163-246
43,705 PROGRESS AVENUE UNIT 46,ESE/172.3,19,Electronic and Computer Equipment Manufacturing,"IMAGE VIDEO LIMITED, an electronics and communications equipment company, generated solvent and photoprocessing wastes from 1986-1998.; TELEX COMMUNICATIONS LTD. listed with SIC codes for Audio and Video Equipment Manufacturing and Semiconductor and Other Electronic Component Manufacturing.",163-246
44,705 Progress Ave Unit 38,ESE/172.3,31,"Ink Manufacturing, Processing and Bulk Storage","Business Printing Inc. operated with SIC codes for Digital Printing and Other Printing, established in 1993.",163-246
45,705 PROGRESS AVE UNIT 7,ESE/172.3,54,Textile Manufacturing and Processing,"CLEANWEAR PRODUCTS LTD. listed with SIC codes for Men's and Boys' Work Clothing and other apparel, established in 1976.; TRITON FASHION COMPANY listed with SIC codes for Cut and Sew Clothing Contracting and Other Women's and Girls' Cut and Sew Clothing Manufacturing.",163-246
46,720 PROGRESS AV SCARBOROUGH ON M1H 2X3,ENE/187.8m,8,"Chemical Manufacturing, Processing and Bulk Storage",TORONTO OXYGEN LTD: Identified in Private and Retail Fuel Storage Tanks (PRT) and Scott's Manufacturing Directory (SCT) databases.,1-67
47,720 PROGRESS AV,ENE/187.8,41,"Petroleum-derived Gas Refining, Manufacturing, Processing and Bulk Storage","TORONTO OXYGEN LTD had a licensed capacity of 5,250 L, expiring in 1993.",163-246
48,1275 MCCOWAN ROAD SCARBOROUGH ON M1P 3H5,SSW/258.3m,46,"Rail Yards, Tracks and Spurs",TORONTO TRANSIT COMMISSION (McCowan Subway Station): Identified as a waste generator (GEN) from 1993-1998 and in EASR and SPL databases.,1-67
49,1275 MCCOWAN ROAD,SSW/258.3,28,Gasoline and Associated Products Storage in Fixed Tanks,"TORONTO TRANSIT COMMISSION registered a Standby Power System on June 7, 2012, which typically involves bulk fuel storage.",163-246
50,1275 MCCOWAN ROAD,SSW/258.3,52,"Storage, maintenance, fuelling and repair of equipment, vehicles, and material used to maintain transportation systems","TORONTO TRANSIT COMMISSION, an urban transit system, generated oil skimmings and sludges from 1995-2001.",163-246
51,727 C Progress Avenue Scarborough ON M1H 2W7,ENE/278.4m,5,Asphalt and Bitumen Manufacturing,"East Star Asphalt: A waste generator (GEN) with an approval year of 2002.; East Star Asphalt, a residential and commercial paving contractor, was listed as a generator in 2003-2004.",1-67;163-246
52,"111 Grangeway Avenue, Scarborough ON M1H 3E9",SSW/65.8,55,"Transformer Manufacturing, Processing and Use","ROYAL BANK OF CANADA and ROYAL BANK REALTY INC. stored and generated PCB waste, including Askarel and drums of ballasts with high-level PCBs. Records from 1989-2004.",68-162
53,"200 Consilium Place, Scarborough ON M1H 3J3",WSW/70.1,52,"Storage, maintenance, fuelling and repair of equipment, vehicles, and material used to maintain transportation systems","TELUS Communications, Oxford Properties Group, and Menkes Developments generated waste crankcase oils, lubricants, light fuels, and solvents. Records from 2003-2016.",68-162
54,"200 Consilium Place, Scarborough ON M1H 3E4",WSW/70.1,58,"Waste Disposal and Waste Management, including thermal treatment, landfilling and transfer of waste, other than use of biosoils as soil conditioners",Athlete's Care generated pathological wastes. Records from 2012-2016.,68-162
55,"200 Consilium Place, Scarborough ON M1H 3E4",WSW/70.1,39,"Paints Manufacturing, Processing and Bulk Storage","MENKES PROPERTY MANAGMENT SERVICES LTD. generated paint, pigment, and coating residue wastes. Records from 2007-2011.",68-162
56,"200 Consilium Place, Scarborough ON M1H 3E4",WSW/70.1,42,Pharmaceutical Manufacturing and Processing,ORGANON CANADA LTD. listed as a pharmaceutical preparations wholesaler/distributor. SCT record active.,68-162
57,"100 Consilium Place, Toronto ON",WSW/157.2,18,"Electricity Generation, Transformation and Power Stations",Co-Steel Inc. had an approval for the installation of a standby diesel generator in 2000.,68-162
58,"100 Consilium Place, Toronto ON M1H 3E3",WSW/157.2,58,"Waste Disposal and Waste Management, including thermal treatment, landfilling and transfer of waste, other than use of biosoils as soil conditioners",Various tenants including CITY OF TORONTO PROPERTY DEPARTMENT and STATE FARM INSURANCE generated pathological and photoprocessing wastes. Records from 1992-2016.,68-162
59,"100 Consilium Place, Scarborough ON M1H 3E3",WSW/157.2,52,"Storage, maintenance, fuelling and repair of equipment, vehicles, and material used to maintain transportation systems",8174709 Canada Inc. generated light fuels and waste crankcase oils. Records from 2012-2016.,68-162
60,"100 Consilium Place, Scarborough ON M1H 3E3",WSW/157.2,39,"Paints Manufacturing, Processing and Bulk Storage","8174709 Canada Inc. generated wastes from the use of pigments, coatings and paints. Records from 2012-2016.",68-162
61,"100 Consilium Place, Scarborough ON M1H 3G9",WSW/157.2,51,"Solvent Manufacturing, Processing and Bulk Storage",STATE FARM INSURANCE generated halogenated solvent waste. Records from 1992-2006.,68-162
62,"100 Consilium Place, Scarborough ON M1H 3E3",WSW/157.2,8,"Chemical Manufacturing, Processing and Bulk Storage",FIRST BRANDS (CANADA) CORP. was listed for manufacturing/distributing chemicals and chemical preparations. SCT record established 1986.,68-162
63,"78 Corporate Drive, Scarborough ON M1H 3G4",NNW/152.2,58,"Waste Disposal and Waste Management, including thermal treatment, landfilling and transfer of waste, other than use of biosoils as soil conditioners",Corporate Medical Centre and The Scarborough Hospital generated pathological wastes. Records from 2000-2016.,68-162
64,"78 Corporate Drive, Scarborough ON M1H 3G4",NNW/152.2,42,Pharmaceutical Manufacturing and Processing,Corporate Medical Centre and GUARDIAN CORPORATE PHARMACY generated pharmaceutical wastes. Records from 2000-2016.,68-162
65,721 Progress Ave.,ENE/194.9,39,"Paints Manufacturing, Processing and Bulk Storage","Brafasco generated waste from the use of pigments, coatings and paints from 2006-2016.",163-246
66,721 Progress Ave.,ENE/194.9,40,"Pesticides (including Herbicides, Fungicides and Anti-Fouling Agents) Manufacturing, Processing, Bulk Storage and Large-Scale Applications",Brafasco generated halogenated pesticides waste from 2006-2012.,163-246
67,721 Progress Ave.,ENE/194.9,1,"Acid and Alkali Manufacturing, Processing and Bulk Storage",Brafasco generated acid waste with other metals from 2006-2013.,163-246
68,721 Progress Ave.,ENE/194.9,41,"Petroleum-derived Gas Refining, Manufacturing, Processing and Bulk Storage",Brafasco generated waste compressed gases from 2006-2013.,163-246
69,727 PROGRESS AVE,ENE/246.7,41,"Petroleum-derived Gas Refining, Manufacturing, Processing and Bulk Storage",LINDE CANADA LTD operated a FS Cylinder Exchange facility.,163-246
70,108 Corporate Drive,NNE/255.9,56,"Treatment of Sewage equal to or greater than 10,000 litres per day","A raw sewage spill from a manhole to a catchbasin was reported on March 7, 2012, indicating the presence of a municipal sewage system.",163-246
71,727 PROGRESS AVENUE,ENE/278.4,31,"Ink Manufacturing, Processing and Bulk Storage","615863 ONTARIO LIMITED / THOMAS PRINTING operated as a commercial printing business, generating paint/pigment residues from 1996-2001.",163-246
72,727 Progress Ave Unit A,ENE/278.4,43,Plastics (including Fibreglass) Manufacturing and Processing,Agincourt Trophy & Gifts Ltd. listed with SIC code 326198 for All Other Plastic Product Manufacturing.,163-246
73,727 Progress Ave Unit A,ENE/278.4,34,Metal Fabrication,Agincourt Trophy & Gifts Ltd. listed with SIC code 332999 for All Other Miscellaneous Fabricated Metal Product Manufacturing.,163-246
74,727 Progress Ave Unit A,ENE/278.4,54,Textile Manufacturing and Processing,Agincourt Trophy & Gifts Ltd. listed with SIC codes for All Other Textile Product Mills and Narrow Fabric Mills.,163-246
75,MCCOWAN RD. LANDFILL SITE,Unplottable,58,"Waste Disposal and Waste Management, including thermal treatment, landfilling and transfer of waste, other than use of biosoils as soil conditioners","TORONTO CITY, SCARBOROUGH DISTRICT received an approval for a Passive Landfill Gas Control System at this location in 1998.",163-246
76,PROGRESS AVE.,Unplottable,31,"Ink Manufacturing, Processing and Bulk Storage","METRO LABEL COMPANY LTD. / Tapp Label Ltd generated graphic arts wastes, paint/pigment residues, and solvents, consistent with printing operations (2013-2016).",163-246
77,"401 EASTBOUND, JUST WEST OF WESTON RD.",Unplottable,11,Commercial Trucking and Container Terminals,"PROVOST BULK TRANSPORT, a trucking company, had a spill of 1000L of toluene based resin on 6/13/1995.",163-246
78,"401 RAMP TO SOUTHBOUND 401, NEAR RENFORTH RD.",Unplottable,12,"Concrete, Cement and Lime Manufacturing","RED-D-MIX, a concrete company, had a diesel spill on 5/25/1996.",163-246
