PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site
11,536 St. Clair Avenue West,Off‑Site (20 m southwest),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #10 (service station with USTs and subsequent occupants).,None. Located downgradient.
12,521 St. Clair Avenue West,Off‑Site (75 m south),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the ERIS report, the property located at 521 St. Clair Avenue West, approximately 75 m south, occupied by Sketchley Cleaners and Embassy Cleaners Inc., was listed as a waste generator of halogenated solvents between 1986 and 1998. The property was listed as having operation of power laundry or cleaner. Based on the city directory, the property was occupied by Loblaw Groceteria Co in 1930, Groceteria Co Ltd. in 1940, President Electric Ltd in 1960, Embassy Cleaners & Shirt Launderers in 1971, Embassy Cleaners in 1978/79, Sketchley Cleaners in 1990 and Metro Discount Inc. in 2000.",None. Located downgradient.
13,523 St. Clair Avenue West,Off‑Site (75 m south),#10 – Commercial Autobody Shops,"Based on the ERIS report, the property located at 523 St. Clair Avenue West, approximately 75 m south, occupied by Hale Motors Ltd., had two (2) records of a 500‑gallon gasoline tank and pump in 1923. The Site was listed as having operation of a gasoline service station.",None. Located downgradient.
14,523 St. Clair Avenue West,Off‑Site (75 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #13 (gasoline tanks and service station operations).,None. Located downgradient.
15,525 St. Clair Avenue West,Off‑Site (75 m south),#10 – Commercial Autobody Shops,"Based on the city directory, the property located at 525 St. Clair Avenue West, approximately 75 m south, was occupied by Vaughan Motors Ltd. in 1930 and Scanion Bakery from 1940 to 1950.",None. Located downgradient.
16,503 St. Clair Avenue West,Off‑Site (30 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 503 St. Clair Avenue West, approximately 30 m south, had a record of a fuel oil tank in 1936.",None. Located downgradient.
17,531 St. Clair Avenue West,Off‑Site (80 m south),#10 – Commercial Autobody Shops,"Based on the FIPs, an auto garage was located at 51 Vaughan Road (currently 531 St. Clair Avenue West), approximately 80 m south, with two (2) USTs located in the southern portion of the property in 1934. Based on the city directory, the property was occupied by Vaughan Motors Ltd. in 1930 and Hall Motors in 1940.",None. Located downgradient.
18,531 St. Clair Avenue West,Off‑Site (80 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"See #17 (auto garage, USTs).",None. Located downgradient.
19,501 St. Clair Avenue West,Off‑Site (100 m southeast),#10 – Commercial Autobody Shops,"Based on the FIPs, an auto garage was located at 501 St. Clair Avenue West, approximately 100 m southeast, with a 1000‑gallon gasoline UST located in the northeastern portion of the property in 1934. Based on the city directory, the property was occupied by Morgan’s Garage in 1930 and Hertell’s Drug Store in 1940.",None. Located downgradient.
20,501 St. Clair Avenue West,Off‑Site (100 m southeast),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #19 (auto garage and UST).,None. Located downgradient.
21,499 St. Clair Avenue West,Off‑Site (110 m southeast),#10 – Commercial Autobody Shops,"Based on the city directory, the property located at 499 St. Clair Avenue West, approximately 110 m southeast, was occupied by Morgan’s Garage in 1940, Artistic Barber Shop from 1960 to 1971 and 7 Eleven Food Stores in 2000.",None. Located downgradient.
22,64 Vaughan Road,Off‑Site (100 m southwest),#10 – Commercial Autobody Shops,"Based on the ERIS report, the property located at 64 Vaughan Road, approximately 100 m southwest, occupied by Rowell [L O], was listed as having operation of a garage.",None. Located downgradient.
23,109‑111 Vaughan Road,Off‑Site (90 m northwest),"#33 – Metal Treatment, Coating, Plating and Finishing","Based on the ERIS report, the property located at 109 Vaughan Road, approximately 90 m northwest, occupied by Amberhue Enterprises Incorporated and Canada Cleaning Supplies Ltd., was listed as having operations of industrial and personal service paper, chemical and allied products and jewellery and silverware manufacturing in 1955.",None. Inferred trans‑gradient.
24,109‑111 Vaughan Road,Off‑Site (90 m northwest),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 109‑111 Vaughan Road, approximately 90 m northwest, was occupied by Baker Bros. Cleaner & Dyers from 1930 to 1950, Baker Bros Cleaner Ltd. from 1960 to 1971, Elsa’s Nature Foods Ltd., Margaret’s Coiffure, Ontario Church of God in Christ, Toronto Chess Club and Janitorial Supplies in 1978/79, Coin Laundry from 1978/79 to 1990, Canada Cleaning Supplies and Five Keys West Indian Store in 1990, Amberhue Enterprises Inc., The Occult Shop and Raven’s Hoard Studio in 2000.",None. Inferred trans‑gradient.
25,1462 Bathurst Street,Off‑Site (125 m south),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 1462 Bathurst Street, approximately 125 m south, was occupied by Fuji Cleaners from 1971 to 1978/79.",None. Located downgradient.
26,44 Vaughan Road,Off‑Site (125 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 44 Vaughan Road, approximately 125 m south, occupied by Stauntons Ltd, had a record of a fuel oil tank in 1926.",None. Located downgradient.
27,21 Vaughan Road,Off‑Site (110 m south),#10 – Commercial Autobody Shops,"Based on the ERIS report, the property located at 21 Vaughan Road, approximately 110 m south, occupied by Supertrest Petrolum Corp Ltd., had two (2) records of five (5) gasoline tanks in 1930. The property was listed as having operation of gasoline service station.",None. Located downgradient.
28,21 Vaughan Road,Off‑Site (110 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #27 (gasoline tanks and service station operations).,None. Located downgradient.
29,542 St. Clair Avenue West,Off‑Site (100 m west),#10 – Commercial Autobody Shops,"Based on the FIPs, a gasoline service station was located at 540 St. Clair Avenue West (currently 542 St. Clair Avenue West), approximately 100 m west, with eight (8) USTs located in the western portion of the property in 1934 and a gasoline service station and an oiling facility were located at 74 Vaughan Road (currently 542 St. Clair Avenue West), with four (4) USTs located in the northeastern portion of the property in 1957. Based on the ERIS report, the property had three (3) records of a gasoline tank in 1929. Based on the city directory, occupants included Imperial Oil Ltd. Service Station (1930), Cle E E Service Station (1950), Gill’s Esso Service (1971), food/retail uses through 2000.",None. Inferred trans‑gradient.
30,542 St. Clair Avenue West,Off‑Site (100 m west),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #29 (gasoline service station with multiple USTs).,None. Inferred trans‑gradient.
31,78 Vaughan Road,Off‑Site (105 m west),#10 – Commercial Autobody Shops,"Based on the city directory, the property located at 78 Vaughan Road, approximately 105 m west, was occupied by White Star Cleaners & Dyers in 1930, Morrison Tob and Confy, Harry’s Garage, Edmund Radiator Repairs and Fred’s Body Shop in 1960, Mike’s Transmission Service and Frank’s Auto Collision in 1971, Vaughan Cleaners and I M Auto Body Collision in 1978/79, Dutch Boy Restaurant in 1990 and Dutch Dreams Ltd. in 2000.",None. Inferred trans‑gradient.
32,78 Vaughan Road,Off‑Site (105 m west),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),See #31 (multiple historic uses including cleaners).,None. Inferred trans‑gradient.
33,539 St. Clair Avenue West,Off‑Site (110 m southwest),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 539 St. Clair Avenue West, approximately 110 m southwest, had historic occupants including Cleaniterias Ltd. (1930) and various retail/restaurant uses through 2000.",None. Located downgradient.
34,84 Vaughan Road,Off‑Site (110 m west),#10 – Commercial Autobody Shops,"Based on the city directory, the property located at 84 Vaughan Road, approximately 110 m west, was occupied by Lothian Garage in 1950.",None. Inferred trans‑gradient.
35,547 St. Clair Avenue West,Off‑Site (130 m southwest),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 547 St. Clair Avenue West, approximately 130 m southwest, was occupied by Kendal Cleaners in 1930, St. Clair Sausage Store in 1940, Crawford Delicatessen and Sterling Realty in 1950, Cinderella Hairdressing from 1960 to 1978/79 and Cinderella Hair Stylists in 1990.",None. Located downgradient.
36,1440 Bathurst Street,Off‑Site (170 m south),#10 – Commercial Autobody Shop,"Based on the FIPs, Hillcrest Motors Ltd., an auto body repair shop including an oiling facility and a show room were located at 1438 Bathurst Street (currently 1440 Bathurst Street), approximately 170 m south, with a gasoline service station and six (6) USTs located in the southern portion of the property in 1957. Based on the ERIS report, nearby historic listings for gasoline operations are noted.",None. Located downgradient.
37,1440 Bathurst Street,Off‑Site (170 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,Historic gasoline tanks and station operations recorded for this address and nearby (records in 1915 and 1934).,None. Located downgradient.
38,133 Vaughan Road,Off‑Site (160 m northwest),"#33 – Metal Treatment, Coating, Plating and Finishing","Based on the city directory, the property located at 133 Vaughan Road, approximately 160 m northwest, was occupied by Metal Boc Manufacturing Co. in 1930, Brakston & Sons Ltd. from 1940 to 1971 and Brankston & Sons in 1978/79.",None. Located at a significant distance.
39,133 Vaughan Road,Off‑Site (160 m northwest),#34 – Metal Fabrication,,None. Located at a significant distance.
40,133 Vaughan Road,Off‑Site (160 m northwest),"#39 – Paints Manufacturing, Processing and Bulk Storage","Based on the FIPs, a paint shop was located at 133 Vaughan Road, approximately 160 m northwest in 1934.",None. Located at a significant distance.
41,556 St. Clair Avenue West,Off‑Site (155 m southwest),#10 – Commercial Autobody Shops,"Based on the FIPs, a gasoline service station was located at 556 St. Clair Avenue West with multiple USTs (1934, 1957). ERIS records include USTs (1984, 2007, 2008) and historic gasoline tanks (1929, 1931). City directory shows service station and automotive uses through 2000.",None. Located downgradient.
42,556 St. Clair Avenue West,Off‑Site (155 m southwest),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #41 (gasoline service station with multiple USTs).,None. Located downgradient.
43,30 Tichester Road,Off‑Site (205 m northeast),#10 – Commercial Autobody Shops,"Based on the FIPs, an auto garage was located at 30 Tichester Road, approximately 205 m northeast in 1934. Based on the city directory, occupants included Grimshaw Bros. Ltd. and Tichester Garage in 1940.",None. Inferred trans‑gradient.
44,569 St. Clair Avenue West,Off‑Site (165 m southwest),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property at 569 St. Clair Avenue West, approximately 165 m southwest, had historic occupants including Hillcrest Cleaners & Tailors (1950) and various retail/restaurant uses through 2000.",None. Located downgradient.
45,20 Vaughan Road,Off‑Site (215 m south),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 20 Vaughan Road, approximately 215 m south, was occupied by Kirk Cleaning & Pressing Co in 1930, Smith Ann Caterers in 1960 and Gourmet Kitchen Social Catering Ltd from 1971 to 2000.",None. Located downgradient.
46,16 Vaughan Road,Off‑Site (225 m south),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 16 Vaughan Road, approximately 225 m south, had a record of two (2) fuel tanks in 1932.",None. Located downgradient.
47,1566 Bathurst Street,Off‑Site (200 m north),#10 – Commercial Autobody Shops,"Based on the FIPs, an auto garage was located at 1566 Bathurst Street, approximately 200 m north in 1934.",None. Inferred trans‑gradient.
48,568 St. Clair Avenue West,Off‑Site (195 m west),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 568 St. Clair Avenue West, approximately 195 m west, had historic occupants including Hillcrest Cleaners & Tailors (1940), Kenwood Cleaning & Pressing (1960), and various retail/clinic uses through 2000.",None. Inferred trans‑gradient.
49,49 Melgund Road,Off‑Site (230 m southeast),#28 – Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 49 Melgund Road, approximately 230 m southeast, had a record of a fuel oil tank in 1927.",None. Located downgradient.
50,570 St. Clair Avenue West,Off‑Site (200 m west),#10 – Commercial Autobody Shops,"Based on the FIPs, a battery service shop was located at 570 St. Clair Avenue West, approximately 200 m west, with an UST located in the southern portion of the property in 1934. City directory occupants included Finch Batteries & Tires (1930), Pengrade Oil Co (1940) and later retail/restaurant uses.",None. Inferred trans‑gradient.
51,570 St. Clair Avenue West,Off‑Site (200 m west),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #50 (battery service shop with UST; gasoline‑related uses).,None. Inferred trans‑gradient.
52,St. Clair Avenue West of St. Michael’s College,Off‑Site (245 m northeast),#30 – Importation of Fill Material of Unknown Quality,"Based on the ERIS report, the property located at the north end of St. Clair Avenue West of St. Michael’s College, approximately 245 m northeast, was listed as an open‑faced dump between 1911 and 1950s.",None. Inferred trans‑gradient.
53,1415 Bathurst Street,Off‑Site (245 m southeast),#10 – Commercial Autobody Shops,"Based on the ERIS report, the property located at 1415 Bathurst Street, approximately 245 m southeast, occupied by Wychwood Garage and Barber & Brownridge, had four (4) records of a gasoline tank and pump in 1923, a gasoline tank in 1925 and two (2) gasoline tanks in 1927. The property was listed as having operations of gasoline retail and repair garage.",None. Located downgradient.
54,1415 Bathurst Street,Off‑Site (245 m southeast),#28 – Gasoline and Associated Products Storage in Fixed Tanks,See #53 (multiple gasoline tanks and pump records).,None. Located downgradient.
55,1415 Bathurst Street,Off‑Site (245 m southeast),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 1415 Bathurst Street, approximately 245 m southeast, was occupied by Wychwood Garage from 1919 to 1930, Kenwood Auto Body & Paint Shop and Broley Motors in 1940, Kenwood Auto Body Ltd. in 1950, Hillcrest Motors Ltd. in 1960, Danbury Sales in 1971, Kennedy Rent All Ltd from 1971 to 1978/79, and multiple businesses including Careful Hand Laundry & Dry Cleaners Ltd in 1990.",None. Located downgradient.
56,574‑576 St. Clair Avenue West,Off‑Site (230 m southwest),#37 – Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the ERIS report, the property located at 574‑576 St. Clair Avenue West, approximately 230 m southwest, occupied by Russel Cleaners, was listed as a waste generator of halogenated solvents between 1986 and 2015. The property was listed as having operation of dry cleaning and laundry services (except coin‑operated). The property was reported as a dry‑cleaning facility between 2004 and 2014.",None. Located downgradient.
