PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
31,832 Bay Street,Off-Site (70 m west),#10 -Commercial Autobody Shops,"Based on the FIPs, Beattle Cadillac Chevrolet including show room, repairs and machine shop is Based on the ERIS report, the property located at 832 Bay Street, approximately 70 m west, occupied by Addison Ontario Bay Ltd., had a record of an active single wall UST, two (2) historical records of a single wall UST in 2007 and 2008 and a record of private storage tank. The property was listed as having operation of service station.","located at 832 Bay Street, approximately 70 m west No Inferred trans-gradient.",ERIS
32,832 Bay Street,Off-Site (70 m west),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, Beattle Cadillac Chevrolet including show room, repairs and machine shop is Based on the ERIS report, the property located at 832 Bay Street, approximately 70 m west, occupied by Addison Ontario Bay Ltd., had a record of an active single wall UST, two (2) historical records of a single wall UST in 2007 and 2008 and a record of private storage tank. The property was listed as having operation of service station.","located at 832 Bay Street, approximately 70 m west No Inferred trans-gradient.",ERIS
33,832 Bay Street,Off-Site (70 m west),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the FIPs, Beattle Cadillac Chevrolet including show room, repairs and machine shop is Based on the ERIS report, the property located at 832 Bay Street, approximately 70 m west, occupied by Addison Ontario Bay Ltd., had a record of an active single wall UST, two (2) historical records of a single wall UST in 2007 and 2008 and a record of private storage tank. The property was listed as having operation of service station.","located at 832 Bay Street, approximately 70 m west No Inferred trans-gradient.",ERIS
34,45 Grosvenor Street,Off-Site (70 m west),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 45 Grosvenor Street, approximately 70 m west, occupied by Wishart [Dr D J G], had a record of a fuel oil tank in 1923.",No Inferred trans-gradient.,ERIS
35,500 Yonge Street,Off-Site (75 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the FIPs, A cleaning and press facility is northeast. Based on the ERIS report, the property located at 500 Yonge Street, approximately 75 m northeast, occupied by SYD Silver Formals Ltd., was listed as a waste generator of halogenated solvents between 1986 and 1998. The property is listed as having operation of power laundry/cleaners.","located at 500 Yonge Street, approximately 75 m No Inferred trans-gradient.",ERIS
36,13 to 19 Breadalbane Street,Off-Site (80 m northeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 13 to 19 Breadalbane Street, approximately 80 m northeast, was occupied by Dominion Automobile Co Service Station in 1929 and Centennial College Machine Shop in 1971.","located at 500 Yonge Street, approximately 75 m No Inferred trans-gradient.",CD
37,13 to 19 Breadalbane Street,Off-Site (80 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the city directory, the property located at 13 to 19 Breadalbane Street, approximately 80 m northeast, was occupied by Dominion Automobile Co Service Station in 1929 and Centennial College Machine Shop in 1971.",No Located at significant distance.,CD
38,13 to 19 Breadalbane Street,Off-Site (80 m northeast),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 13 to 19 Breadalbane Street, approximately 80 m northeast, was occupied by Dominion Automobile Co Service Station in 1929 and Centennial College Machine Shop in 1971.",No Located at significant distance.,CD
39,15 Breadalbane Street,Off-Site (80 m northeast),"#45 -Pulp, Paper and Paperboard Manufacturing and Processing","Based on the FIPs, Canadian Carbon & Ribbon Co., an office equipment manufacturer is located at 15 Breadalbane Street, approximately 80 m northeast.",No Inferred trans-gradient.,FIP
40,506 Yonge Street,Off-Site (80 m northeast),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the FIPs, a sheet metal shop is located at 506 Yonge Street, approximately 80 m northeast.",No Inferred trans-gradient.,FIP
41,506 Yonge Street,Off-Site (80 m northeast),#34 -Metal Fabrication,"Based on the FIPs, a sheet metal shop is located at 506 Yonge Street, approximately 80 m northeast.",No Inferred trans-gradient.,FIP
42,458 Yonge Street,Off-Site (80 m southeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 458 Yonge Street, approximately 80 m southeast, was occupied by Victor Cleaning & Pressing from 1929 to 1950.",No Located downgradient.,CD
43,464 Yonge Street,Off-Site (85 m southeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, an UST leakage was identified in 1989 at 464 Yonge Street, located approximately 85 m southeast.",No Located downgradient.,ERIS
44,514 Yonge Street,Off-Site (95 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 514 Yonge Street, approximately 95 m northeast, occupied by Federal Combustion Corp, had a record of a fuel oil tank in 1926.",No Inferred trans-gradient.,ERIS
45,514 Yonge Street,Off-Site (95 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 514 Yonge Street, approximately 95 m northeast, was occupied by Cleaniteria Dry Cleaning in 1960.",No Inferred trans-gradient.,CD
46,516 Yonge Street,Off-Site (95 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 516 Yonge Street, approximately 95 m northeast, occupied by Wilson [Franklin] Motors, had a record of a gasoline tank in 1930.",No Inferred trans-gradient.,ERIS
47,518 to 524 Yonge Street,Off-Site (95 m northeast),#10 -Commercial Autobody Shops,"Based on the FIPS, an auto garage repair shop is 95 m northeast.","located at 518 to 524 Yonge Street, approximately No Inferred trans-gradient.",FIP
48,886 and 888 Bay Street,Off-Site (95 m northwest),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 886 and 888 Bay Street, approximately 95 m northwest, was occupied by Air Mist Auto Renovators in 1929. distance",No Located at a significant.,CD
49,2 College Street,Off-Site (100 m southeast),Other -Waste Generator of PCBs,"Based on the ERIS report, the property located at 2 College Street, approximately 100 m southeast, occupied by Canadian Imperial Bank of Commerce, was listed as a waste generator of PCBs between 1994 and 2001.",No Located downgradient.,ERIS
50,855 Bay Street,Off-Site (100 m south),#6 -Battery Manufacturing,"Based on the city directory, the property located at 855 Bay Street, approximately 100 m south, was occupied by Toronto Battery & Elect Co, Motor Reconditioners of Can and Bulldog Electric in 1929 and Master Electric Motors in 1940.",No Located downgradient.,CD
51,855 Bay Street,Off-Site (100 m south),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 855 Bay Street, approximately 100 m south, was occupied by Toronto Battery & Elect Co, Motor Reconditioners of Can and Bulldog Electric in 1929 and Master Electric Motors in 1940.",No Located downgradient.,CD
52,855 Bay Street,Off-Site (100 m south),#34 -Metal Fabrication,"Based on the city directory, the property located at 855 Bay Street, approximately 100 m south, was occupied by Toronto Battery & Elect Co, Motor Reconditioners of Can and Bulldog Electric in 1929 and Master Electric Motors in 1940.",No Located downgradient.,CD
53,473 Yonge Street,Off-Site (115 m east),#10 -Commercial Autobody Shops,"Based on the FIPS, an auto supplies and garage are east.","located at 473 Yonge Street, approximately 115 m No Inferred trans-gradient.",FIP
54,66 Grenville Street,Off-Site (115 m southwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 66 Grenville Street, approximately 115 m southwest, occupied by three (3) fuel oil tanks in 1933.",No Located downgradient.,ERIS
55,475 Yonge Street,Off-Site (120 m east),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 475 Yonge Street, approximately 130 m east, occupied by High Gate Hotels and Yonge Street Hotels Ltd., obtained a certificate of approval for industrial air for a standby generator in 1998 and 2008.",No Inferred trans-gradient.,ERIS
56,465 Yonge Street,Off-Site (125 m southeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 465 Yonge Street, approximately 125 m southeast, occupied by Britnell A, had a record of a fuel oil tank in 1927.",No Located downgradient.,ERIS
57,16 Breadalbane Street,Off-Site (125 m north),#28 -Gasolineand Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 16 Breadalbane Street, approximately 125 m north, occupied by Sacks [Walter R], had a record of a fuel oil tank in 1931. distance",No Located at a significant.,ERIS
58,1 College Street,Off-Site (125 m southeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 1 College Street, approximately 125 m southeast, occupied by Eaton [T] & Co Ltd, had a record of a gasoline tank in 1928.",No Located downgradient.,ERIS
59,495 Yonge Street,Off-Site (125 m east),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 495 Yonge Street, approximately 125 m east, was occupied by Colling Tire & Service from 1940 to 1950 and Colling Tire Shop from 1911 to 1929.",No Inferred trans-gradient.,CD
60,19 College Street,Off-Site (125 m south),"#31 -Ink Manufacturing, Processing and Bulk Storage","Based on the ERIS report, the property located at 19 College Street, approximately 125 m south, occupied in 1990 by The Printing House Ltd, was listed as having operations of miscellaneous publishing, commercial printing, lithographic, printing, photocopying and duplicating services.",No Located downgradient.,ERIS
61,905 Bay Street,Off-Site (130 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, National Motors Limited Inc, a car storage is located at 40 Breadalbane Street (currently 905 Bay Street), approximately 130 m northwest with an UST located on the southern portion of the property. distance",No Located at a significant.,FIP
62,909 Bay Street,Off-Site (130 m northwest),#10 -Commercial Autobody Shops,"Based on the ERIS report, the property located at 909 Bay Street, approximately 130 m northwest, occupied by Willys-Overland Co of Canada Ltd (J T & H Hutson), was listed as having operation of auto service garage in 1924. distance",No Located at a significant.,ERIS
63,36 to 38 Breadalbane Street,Off-Site (130 m north),#10 -Commercial Autobody Shops,"Based on the FIPS, Garage Supply Co. Ltd and R.C.A Victor Co. Ltd are located at 36 to 38 Breadalbane Street, approximately 130 m north with a repair shop located on the northwestern portion of the property. distance 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",No Located at a significant.,FIP
64,8 Breadalbane Street,Off-Site (130 m northeast),"#31 -Ink Manufacturing, Processing and Bulk Storage","Based on the ERIS report, the property located at 8 Breadalbane Street, approximately 130 m northeast, occupied in 1983 by First Impression Graphis, was listed as having operations of book, periodical and newspaper wholesaler-distributors, on-line information services, graphic design services, computer systems design and related services, quick printing, digital printing, other printing, support activities for printing, internet service providers, archives, direct mail advertising and business service centers. distance",No Located at a significant.,ERIS
65,14 Breadalbane Street,Off-Site (130 m northeast),#10 -Commercial Autobody Shops,"Based on the FIPs, Universal Electric Motor Service Co. Ltd. is located at 14 Breadalbane Street, approximately 130 m northeast.",No Inferred trans-gradient.,FIP
66,14 Breadalbane Street,Off-Site (130 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 14 Breadalbane Street, approximately 130 m northeast, occupied by Toronto Pleating Co, had a record of a gasoline tank in 1919.",No Inferred trans-gradient.,ERIS
67,2 Alexander Street,Off-Site (130 m northeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 2 Alexander Street, approximately 135 m east, was occupied by Colling Tire & Service in 1950.",No Inferred trans-gradient.,CD
68,8 Alexander Street,Off-Site (130 m northeast),#10 -Commercial Autobody Shops,"Based on the filed RSC at 8 Alexander Street, the property was occupied by a tire repair operation on the southeastern portion.",No Inferred trans-gradient.,Other
69,503 Yonge Street,Off-Site (130 m northeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 503 Yonge Street, approximately 130 m northeast, was occupied by Ontario Tire System from 1929 to 1940 and A & E Auto Body in 1950.",No Inferred trans-gradient.,CD
70,503 Yonge Street,Off-Site (130 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 503 Yonge Street, approximately 130 m northeast, occupied by Radcliffe [R N], had a record of a gasoline tank in 1921. 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",No Inferred trans-gradient.,ERIS
71,505 Yonge Street,Off-Site (130 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the filed RSC at 8 Alexander Street, 501 to 525 Yonge Street, the property is associated with PCA#28 - Gasoline and Associated Products Storage in Fixed Tanks.",No Inferred trans-gradient.,Other
72,507 Yonge Street,Off-Site (130 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 507 Yonge Street, approximately 130 m northeast, was occupied by Quick Cleaners from 1960 to 1978/79.",No Inferred trans-gradient.,CD
73,511 Yonge Street,Off-Site (130 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 511 Yonge Street, approximately 130 m northeast, occupied by Clayton T, had a record of a fuel tank in 1919.",No Inferred trans-gradient.,ERIS
74,513 Yonge Street,Off-Site (130 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 513 Yonge Street, approximately 130 m northeast, was occupied by a Harold’s Cleaners & Pressers in 1950.",No Inferred trans-gradient.,CD
75,517 Yonge Street,Off-Site (130 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property is 517 Yonge Street, approximately 130 m northeast, was occupied by Varsity Cleaners & Dyers in 1940.",No Inferred trans-gradient.,CD
76,519 to 521 Yonge Street,Off-Site (130 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the FIPs, cleaners are located at 519 to 521 Yonge Street, approximately 130 m northeast. Based on the city directory, the property located at 519 to 521 Yonge Street, approximately 130 m northeast, was occupied by Dandee Cleaners in 1960.",No Inferred trans-gradient.,FIP
77,521 to 523 Yonge Street,Off-Site (130 m northeast),#10 -Commercial Autobody Shops,"Based on the filed RSC at 8 Alexander Street, 501 to 525 Yonge Street, the property is associated with PCA#10 - Commercial Autobody Shops.",No Inferred trans-gradient.,Other
78,457 Yonge Street,Off-Site (130 m southeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 457 Yonge Street, approximately 130 m southeast, occupied by Hoidge W A Co, had a record of a gasoline tank in 1929. 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",No Located downgradient.,ERIS
79,461 Yonge Street,Off-Site (130 m southeast),#30 -Importation of Fill Material of Unknown Quality,"Based on the ERIS report, the property located at 461 Yonge Street, approximately 130 m southeast of the Site, requested Toronto to dump sufficient ashes to fill an old well at the rear of the property in 1946.",No Located downgradient.,ERIS
80,463 Yonge Street,Off-Site (130 m southeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the city directory, the property located at 463 Yonge Street, approximately 130 m southeast, was occupied by Sacrob Max Cleaners & Pressers in 1940 and Cleaver Cleaners in 1950.",No Located downgradient.,CD
81,777 Bay Street,Off-Site (130 m south),#29 -Glass Manufacturing,"Based on the ERIS report, the property located at 777 Bay Street, approximately 130 m south, occupied between 1887 and 1997 by Food in Canada, Rogers Media Publishing, Transcontinental Publishing, Cosmetics Magazine, Canadian Business Media Ltd., Rogers Media Inc., Marketing Magazine, Cyborg Systems Canada Inc., Maclean Hunter Healthcare and TPH The Printing House Limited was listed as having operations of periodical publishers, newspaper publishers, periodicals: publishing, or publishing and printing, books: publishing, or publishing and printing, direct mail advertising, manufacturing and reproducing magnetic and optical media, software publishers, computer, computer peripheral and pre-packaged software wholesaler-distributors, commercial printing, manifold business forms, books, periodical and newspapers, business services, digital printing, quick printing and other printing.",No Located downgradient.,ERIS
82,777 Bay Street,Off-Site (130 m south),"#31 -Ink Manufacturing, Processing and Bulk Storage","Based on the ERIS report, the property located at 777 Bay Street, approximately 130 m south, occupied between 1887 and 1997 by Food in Canada, Rogers Media Publishing, Transcontinental Publishing, Cosmetics Magazine, Canadian Business Media Ltd., Rogers Media Inc., Marketing Magazine, Cyborg Systems Canada Inc., Maclean Hunter Healthcare and TPH The Printing House Limited was listed as having operations of periodical publishers, newspaper publishers, periodicals: publishing, or publishing and printing, books: publishing, or publishing and printing, direct mail advertising, manufacturing and reproducing magnetic and optical media, software publishers, computer, computer peripheral and pre-packaged software wholesaler-distributors, commercial printing, manifold business forms, books, periodical and newspapers, business services, digital printing, quick printing and other printing.",No Located downgradient.,ERIS
83,10 Breadalbane Street,Off-Site (135 m northeast),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the FIPs, a welding, repairs and machine shop is located at 10 Breadalbane, approximately 135 m northeast. Based on the city directory, the property located at 10 Breadalbane Street, approximately 135 m northeast, was occupied by Clarke Machine Shop in 1960.",No Inferred trans-gradient.,FIP
84,10 Breadalbane Street,Off-Site (135 m northeast),"#34 -Metal Fabrication 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site","Based on the FIPs, a welding, repairs and machine shop is located at 10 Breadalbane, approximately 135 m northeast. Based on the city directory, the property located at 10 Breadalbane Street, approximately 135 m northeast, was occupied by Clarke Machine Shop in 1960.",No Inferred trans-gradient.,FIP
85,2 Carlton Street,Off-Site (140 m southeast),"#31 -Ink Manufacturing, Processing and Bulk Storage","Based on the ERIS report, the property located at 2 Carlton Street, approximately 140 m southeast, occupied between 1923 and 1990 by Advocacy Ctr for the Elderly, HR systems Strategies Inc., Toronto Field Naturalists, LEAF Lines, Canadian Engineering, Canadian Shareowner Magazine and Canada Wide Magazines was listed as having operations of offices of lawyers, computer, computer peripheral and pre- packaged software wholesaler-distributors, software publishers, business associations, grant- making and giving services, periodicals: publishing, or publishing and printing and other printing.",No Located downgradient.,ERIS
86,77 Grenville Street,Off-Site (140 m southwest),Other -Storage of PCBs,"Based on the ERIS report, the property located at 77 Grenville Street, approximately 140 m southwest, occupied by Salpam Investments, had four (4) records of storage of ballasts with high level of PCBs between 1995 and 2000.",No Located downgradient.,ERIS
87,536 Yonge Street,Off-Site (150 m northeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 536 Yonge Street, approximately 150 m northeast, was occupied Firegas Service Ltd. in 1929.",No Inferred trans-gradient.,CD
88,536 Yonge Street,Off-Site (150 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the city directory, the property located at 536 Yonge Street, approximately 150 m northeast, was occupied Firegas Service Ltd. in 1929.",No Inferred trans-gradient.,CD
