PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site
15,55 to 75 Leslie Street,Off-Site (10 m southwest #28 - Gasoline and Associated),#58 - Waste Disposal and,"Waste Management, Including Thermal Treatment, Landfilling and Transfer of Waste, Other Than Use of Biosoils as Soil Conditioners Based on ERIS, the property was operated by H.A. Ball & Sons, a barrel and drum dealer, and was listed as dump in 1950 and requested Toronto to dump 200 load of ashes on these properties to fill for storage. Based on City Directory, the property was occupied by Ball H A & Sons Ltd from 1925 to 1980.",Potential.
16,1255 Queen Street East,Off-Site (10 m west),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on ERIS, the property was occupied by Stephenson’s Rental Services Inc and was listed as a waste generator of petroleum distillates, emulsified oils, oil skimmings and sludges, light fuels, wastes oils and lubricants from 2005 to 2008. The property was listed as having operation of construction transportation mining and forestry machinery and equipment rental and leasing. Based on City Directory, the property was occupied by Bradley’s Boats & Motors in 1965, Bradley’s Boats & Motors Toronto Ltd in 1970.",Potential.
17,1304 Queen Street East,Off-Site (30 m northeast),#19 - Electronic and Computer,"Equipment Manufacturing Based on ERIS, the property was occupied by Assured Communications and was listed as having operation of electronic parts and equipment. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",Potential.
18,1249 to 1251 Queen Street East,Off-Site (30 m west),#10 - Commercial Autobody,"Shops Based on FIP from 1965, auto repair was observed. Based on City Directory, the property was occupied by Tru Way Alignments from 1955 to 2000.",Potential.
19,1249 to 1251 Queen Street East,Off-Site (30 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Maunder [L] and had a record of a gasoline pump on curb in 1923.",Potential.
20,1256 Queen Street East,Off-Site (30 m west),#9 -Coal Gasification,"Based on City Directory, the property was occupied by Beach Coal Co in 1936, Russell Heating Co and Argo Electric in 1955, Superior Railings in 1970, Superior Dominion Railings from 1980 to 1995.",Potential.
21,1256 Queen Street East,Off-Site (30 m west),"#33 - Metal Treatment,","Coating, Plating and Finishing",Potential.
22,1258 Queen Street East,Off-Site (35 m northwest #10 - Commercial Autobody),"#33 - Metal Treatment,","Coating, Plating and Finishing",Potential.
23,10 Hasting Avenue,Off-Site (40 m northwest #10 - Commercial Autobody),"#33 - Metal Treatment,","Coating, Plating and Finishing",Potential.
24,10 Hasting Avenue,Off-Site (40 m northwest #10 - Commercial Autobody),"#33 - Metal Treatment,","Coating, Plating and Finishing",Potential.
25,10 Hasting Avenue,Off-Site (40 m northwest #10 - Commercial Autobody),#32 - Iron and Steel,Manufacturing and Processing,Potential.
26,1247 Queen Street East,Off-Site (45 m west),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by garage from 1936 to 1955, Johnston OC Cartage from 1960 to 1965, Stadium Garage Auto Repairs in 1970, Tru Way Alignments Addl Space in 1985/86, Upton Radiators in 1999. Inferred trans- gradient.",None.
27,1247 Queen Street East,Off-Site (45 m west),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems",None.
28,842 Eastern Avenue,Off-Site (70 m south),#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by Hollywood North Auto Parts Inc, Dempsey Auto Parts and was listed",None.
29,842 Eastern Avenue,Off-Site (70 m south),"#49 - Salvage Yard, including","Automobile Wrecking as a waste generator of aliphatic solvents and residues, light fuels, waste crankcase oils and lubricants from 1994 to 2016. The property was listed as all other automotive repair and maintenance and automobile wrecking. The property was also occupied by Hollywood North Auto Parts, Dempsey Auto Parts and had three (3) records of automobile parts and supplies used and rebuilt. Located downgradient.",None.
30,842 Eastern Avenue,Off-Site (70 m south),#59 - Wood Treating and,"Preservative Facility and Bulk Storage of Treated and Preserved Wood Products Based on City Directory, the property was occupied by Morgan Lumber from 1950 to 1960, Sam’s Salvage & Auto Wreckers from 1965 to 1970, Sanis Salvage and Auto Wreckers in 1975.",None.
31,1315 Queen Street East,Off-Site (80 m east),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on ERIS, the property was occupied by Fantasy Brass & Copperware and was listed as a waste generator of acid waste, alkaline wastes, paint/pigment/coating residues, aromatic solvents, petroleum distillates, halogenated solvents from 1990 to 1998. Inferred trans- gradient.",None.
32,77 Leslie Street,Off-Site (80 m west),"#49 - Salvage Yard, Including","Automobile Wrecking Based on City Directory, the property was occupied by Ball H A & Sons Yard from 1940 to 1945. Inferred trans- gradient.",None.
33,1232 Queen Street East,Off-Site (80 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1965, an auto service station and an UST were observed. Inferred trans- gradient.",None.
34,1233 Queen Street East,Off-Site (90 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1965, a boiler room and its associated storage tanks at Lee’s Food Products Ltd were observed. Inferred trans- gradient.",None.
35,840 to 854 Eastern Avenue,Off-Site (90 m south),"#49 - Salvage Yard, Including","Automobile Wrecking Based on FIP from 1965, an auto wrecker, metal junk yard and a transformer were observed.",None.
36,1285 Queen Street East,On-Site,#55 - Transformer,"Manufacturing, Processing and Use Based on ERIS, the property was occupied by Levine Recycling Ltd and had six (6) records of scrap metals. The property was also occupied by Fulco Automotive, had three (3) records of askarel stored for disposal in 1996 and four (4) records of weight of soil not in drums with low level PCBs in 1995 to 2000. Based on ERIS, 854 Eastern Avenue was occupied by Waxman Salvage and was listed as waste generator from 1986 to 1994. Located downgradient.",
37,1285 Queen Street East,On-Site,#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by Fulco Automotive Limited and was listed as a waste generator of other specified inorganics, heavy fuels, PCBs from 1992 to 2001. The property was listed as having operation of other waste materials.",
38,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Industrial Coating Co from 1945 to 1960, Fulco Automotive Parts in 1970, Fulco Auto Wreckers from 1980 to 1985/86.",
39,1285 Queen Street East,On-Site,#57 - Vehicles and Associated,Parts Manufacturing,
40,Street,Off-Site (100 m),#58 - Waste Disposal and,"Waste Management, Including Thermal Treatment, Landfilling and Transfer of Waste, Other Than Use of Biosoils as Soil Conditioners Based on ERIS, the property was operated by Eastern & Laing Fill and was listed as dump and was being filled in the late 1940s and early 1950s. Located downgradient.",None.
41,Avenue,Off-Site (100 m),#37 - Operation and Dry,"Cleaning Equipment (Where Chemicals are Used) Based on ERIS, the property was occupied by The Park Avenue Cleaners, 1579920 Ontario Inc, Hydroquip Sales & Service Ltd and was listed as a waste generator of halogenated solvents and residues, neutralized wastes, petroleum distillates, heavy fuels, waste oils and Located downgradient.",None.
42,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",
43,1285 Queen Street East,On-Site,#32 - Iron and Steel,"Manufacturing and Processing lubricants from 1988 to 2016. The property was listed as having operations of dry cleaning and laundry services and other machinery. The property was also occupied by Copacetic Woodwork & Design and was listed as having operations of all other miscellaneous manufacturing, all other miscellaneous fabricated metal product manufacturing, wood kitchen cabinet and counter top manufacturing, pottery, ceramics and plumbing fixture manufacturing, other millwork, other wood household furniture manufacturing, wood window and door manufacturing, all other miscellaneous fabricated metal product manufacturing in 1976. Based on City Directory, the property was occupied by Canadian Sheet Metal & Roofing Co in 1950, Norris Iron Works Ltd from 1950 to 1980.",
44,Avenue,Off-Site (120 m),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Clark F E and had a record of a fuel oil tank in 1930. distance.",None Located at significant.
45,Avenue,Off-Site (120 m),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Anron Electric Motor Repairs in 1980. Located downgradient.",None.
46,Street,Off-Site (120 m),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Roy Randall Metals & Wire from 1955 to 1960, 1980. Located downgradient.",None.
47,49 Laing Street,Off-Site (120 m),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Allied Metals Ltd from 1965 to 1975. Located downgradient.",None.
48,60 Leslie Street,Off-Site (120 m west),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Dominion Electric Manufacturing Co Ltd from 1945 to 1960, Dominion Electric Supply Co from 1955 to 1960, Petroquip Ltd from 1965 to 1970, Adams Electric Co in 1970. Inferred trans- gradient.",
49,Street,Off-Site (130 m),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on FIP from 1965, a metal work shop was observed. Located downgradient.",None.
50,43 Laing Street,Off-Site,#57 - Vehicles and Associated,"Parts Manufacturing Based on FIP from 1965, an auto parts manufacturer was observed. Located downgradient.",None.
51,1285 Queen Street East,On-Site,#10 - Commercial Autobody,"Shops Based on City Directory, the propertywas occupied by Laing Auto Body in 1970, Neptune Auto Body in 1980, Four Brothers Auto Refinishing in 1985/86.",
52,Avenue,Off-Site (140 m),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIPs from 1934 and 1965, a gasoline service station and two (2) USTs were observed. Located downgradient.",None.
53,1285 Queen Street East,On-Site,#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Maffatt Gas & Oil Co Ltd from 1925 to 1930, Thompson Service Station from 1936 to 1940, Blakc Geo A Service Station in 1950, Brownscombe Douglas Service Station in 1955, Grainer Vic Service Station in 1960, Flash Auto Glass Co Ltd from 1965 to 1975, S & S Motors Inc in 1999.",
54,Avenue,Off-Site (140 m south),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Kuli Auto Machine Shop in 1960. Located downgradient.",None.
55,Avenue,Off-Site (140 m south),"#49 - Salvage Yard, Including","Automobile Wrecking Based on City Directory, the property was occupied by Eastern Avenue Auto Wreckers from 1936 to 1940. Located downgradient.",None.
56,Eastern Avenue,Off-Site (140 m south),"#49 - Salvage Yard, Including","Automobile Wrecking Based on City Directory, 846 Eastern Avenue was occupied by Eastern Auto Wreckers from 1955 to 1965, Sam’s Salvage & Auto Wreckers in 1970. Located downgradient. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site Based on City Directory, 850 Eastern Avenue was occupied by Eastern Auto Wreckers in 1960.",None.
57,Street,Off-Site (145 m),#55 - Transformer,"Manufacturing, Processing and Use Based on FIP from 1965, a transformer at Telford & Craddock Printers Ltd was observed. Located downgradient.",None.
58,Avenue,Off-Site (145 m south),"#49 - Salvage Yard, Including","Automobile Wrecking Based on City Directory, the property was occupied by Western Iron & Metal Co Yard in 1955. Located downgradient.",None.
59,Street East,Off-Site (150 m east),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIPs from 1934 and 1965, an service station or auto service and two USTs were observed. Based on ERIS, the property was occupied by Shell Oil Co of Canada Ltd and had a record of two (2) gasoline tanks in 1928. The property was listed as having operation of gasoline service station. Based on City Directory, the property was occupied by Shell Gas Service Station from 1925 to 1936, Sconner Service Station in 1940, Green Service Station from 1945 to 1955, March Ronald Service Station in 1965 and Queen Shell Service Station in 1965. Inferred trans- gradient.",None.
60,Avenue,Off-Site (150 m south),#55 - Transformer,"Manufacturing, Processing and Use Based on ERIS, the property was occupied by Toronto District School Board, had five (5) records of askarel stored for disposal from 1992 to 1998 and six (6) records of ballasts with high level PCBs, other material with high level PCBs from 1995 to 2003, three (3) records of transfer station, PCB storage site from 1987 to 2008. Located downgradient.",None.
61,17 Leslie Street,Off-Site (150 m),"#39 - Paints Manufacturing,","Processing and Bulk Storage Based on FIP from 1934, Sherwin-William Co of Canada Limited was observed including paint storage, property used coal as fuel. Located downgradient.",None.
62,1285 Queen Street East,On-Site,#9 - Coal Gasification,"1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",
63,27 Leslie Street,Off-Site (150 m),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Moffatt Oil Co and had three (2) records of a gasoline tank in 1928 and 1929 and two (2) gasoline tanks in 1928. The property was listed as having operation of gasoline service station. Located downgradient.",None.
64,Street,Off-Site (150 m),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Bumper’s Auto Body in 1980. Located downgradient.",None.
65,Eastern Avenue,Off-Site (150 m),#32 - Iron and Steel,"Manufacturing and Processing Based on City Directory, the property was occupied by Eastern Iron & Metal Co from 1936 to 1960, Auto wreckers Supply Co from 1945 to 1960, Continental Chemical Co from 1945 to 1955. Located downgradient.",None.
66,1285 Queen Street East,On-Site,"#49 - Salvage Yard, Including",Automobile Wrecking,
67,1285 Queen Street East,On-Site,"#8 - Chemical Manufacturing,",Processing and Bulk Storage,
68,1285 Queen Street East,On-Site,"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on City Directory, the property was occupied by the Department of Works Toronto Central Maintenance Garage in 1970.",
69,Street East,Off-Site (160 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by 2415858 Ontario Inc, 1031268 Ontario Inc and had a record of three (3) records of a single wall gasoline UST in 1974, two (2) records of three (3) single wall USTs in 2007 and 2008, two (2) records of a retail storage tank in 1995. Inferred trans- gradient.",None.
70,Avenue,Off-Site (160 m),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on FIP from 1965, truck repairs and an UST were observed. Located downgradient. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",None.
71,1285 Queen Street East,On-Site,#28 - Gasoline and Associated,Products Storage in Fixed Tanks,
72,Avenue,Off-Site (160 m),#59 - Wood Treating and,"Preservative Facility and Bulk Storage of Treated and Preserved Wood Products Based on City Directory, the property was occupied by Buchman Lumber Co in 1955. Located downgradient.",None.
73,Avenue,Off-Site (160 m),#10 - Commercial Autobody,"Shops Based on City Directory, the property was occupied by Central Auto Works from 1936 to 1955, Norther Plating So in 1955, G & G Sheet Metal Ltd from 1960 to 1965. Located downgradient.",None.
74,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing",
75,Avenue,Off-Site (160 m),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Deca Manufacturing TV Antennas from 1955 to 1960. Located downgradient.",None.
76,Avenue,Off-Site (170 m),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1965, an auto service and an UST were observed. Based on ERIS, the property was occupied by Canadian Oil Companies Ltd and had five (5) records of two (2) gasoline tanks in 1928 and 1936, a gasoline tank in 1929 and 1931. The property was listed as having operation of gasoline service station. Based on City Directory, was occupied by Ruston Service Station & Garage from 1955 to 1960, Sloan’s Moe White Rose Service Station in 1965, Milton Shell Service Station in 1970 and Towing M W Ltd in 1975. Located downgradient.",None.
77,1285 Queen Street East,On-Site,#10 - Commercial Autobody,Shops,
78,1285 Queen Street East,On-Site,"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems",
79,Street East,Off-Site (170 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Sexton [George], Daly [R] and had three (3) records of a gasoline pump and a gasoline tank and pump in 1923. The property was listed as having operation of gasoline service station. Inferred trans- gradient. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",None.
80,East,Off-Site (180 m east),#10 - Commercial Autobody,"Shops Based on FIP from 1965, an auto repairs, body shop and an UST were observed. Based on ERIS, 1345 Queen Street East was occupied by Sherriff Bros and Creeny James and had two records of a gasoline tank and a fuel oil tank in 1920 and 1924. Based on ERIS, 1347 Queen Street East was occupied by McBride & Creeney and had two (2) records of a gasoline tank and gasoline pump in 1924 and 1931. Based on City Directory, the property was occupied by M & C Garage & Service Station from 1925 to 1945, Queen Motors in 1950, Leader Messenger Service, Mokry’s Service Station, Bohl Garage in 1955, Laimon’s Service Station in 1960, Sammy’s Motor and Repair Shop in 1970, Blue Sky Body Shop from 1975 to 1985/86, Sammy’s Auto Body in 1975, Salim Auto Repairs in 1985/86, Blue Sky Body Shop, Phoenix Auto Glass & Trim, Hariff Auto Repair and MK Automotive Service in 1999. Inferred trans- gradient.",None.
81,1285 Queen Street East,On-Site,#28 - Gasoline and Associated,Products Storage in Fixed Tanks,
82,Avenue,Off-Site (180 m east),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1934, a service station with two (2) 500 gallons USTs were observed. Inferred trans- gradient.",None.
83,Avenue,Off-Site (180 m east),"#49 - Salvage Yard, Including","Automobile Wrecking Based on ERIS, the property was occupied by Peterson’s Truck Parts and had two (2) records of automobile parts and supplies used and rebuilt. Based on City Directory, the property was occupied by Peterson’s Garage in 1980. Inferred trans- gradient.",None.
84,1285 Queen Street East,On-Site,#10 - Commercial Autobody,Shops,
85,Street East,Off-Site (190 m east),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Shell Oil Co of Canada Ltd and had a record of two (2) gasoline tanks in 1933. The property was listed as having operation of gasoline service station. Inferred trans- gradient.",None.
86,Avenue,Off-Site (190 m),#10 - Commercial Autobody,"Shops Based on FIP from 1965, an auto repair shop was observed. Based on City Directory, the property was occupied by Central Auto Body from 1960 to 1999, Wecsey Geo Machine Shop from 1960 to 1970. Located downgradient.",None.
87,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing",
88,Avenue,Off-site,#10 - Commercial Autobody,"Shops Based on ERIS, the property was occupied by Michael & Michael Auto Body Ltd, obtained a certificate of air in 2003. Based on City Directory, the property was occupied by Apex Auto Body Co from 1955 to 1960, Ivan’s Auto Parts & Service Ltd from 1965 to 1975, Unit Auto Body in 1980, Michael & Michael Auto Body Ltd from 1985/86 to 1999. Located downgradient.",None.
89,Avenue,Off-Site (200 m south),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on FIP from 1965, Corporation of the City of Toronto Central Maintenance Garage including general repairs, body shop, welding shop, paint shop, tire shop was observed. Located downgradient.",None.
90,Avenue,Off-Site (210 m),"#52 - Storage, Maintenance,","Fuelling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems Based on ERIS, the property was occupied by Corporation of the City of Toronto and was listed as a waste generator of petroleum distillates, oil skimmings and sludges, waste oils and lubricants, aliphatic solvents and residues, waste crankcase oils and lubricants from 1995 to 2016. The property was listed as having operation of general automotive repair. Located downgradient.",None.
91,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing Based on City Directory, the property was occupied by Godfon welding Co in 1955, Canadian Pipe & Steel Fabricators from 1970 to 1975.",
92,1285 Queen Street East,On-Site,#34 - Metal Fabrication,,
93,Avenue,Off-Site,#57 - Vehicles and Associated,"Parts Manufacturing Based on FIP from 1965, an autos drapery manufacturer was observed. 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site southeast Located downgradient.",None.
94,Avenue,Off-Site (220 m north),#58 - Waste Disposal and,"Waste Management, Including Thermal Treatment, Landfilling and Transfer of Waste, Other Than Use of Biosoils as Soil Conditioners Based on ERIS, the property was listed as dump in 1956 and requested Toronto to dump two (2) loads of leaves at the rear of the house. distance.",None Located at significant.
95,Avenue,Off-Site (220 m),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the property was occupied by Imperial Oil co Ltd and had a record of a service station addition and alteration in 1935. The property was listed as having operation of gasoline service station. Located downgradient.",None.
96,Street,Off-Site (220 m),"#33 - Metal Treatment,","Coating, Plating and Finishing Based on ERIS, the property was occupied by Anronn Electric Motor Repairs Ltd and was listed as having operations of commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance, internal combustion engines, armature rewinding shops, other engine and power transmission equipment manufacturing in 1971. Located downgradient.",None.
97,Avenue,Off-Site (230 m north),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on ERIS, the propertyhad a record of two (2) fuel tanks in 1932. distance.",None Located at significant.
98,Eastern Avenue,Off-Site (230 m),#9 - Coal Gasification,"Based on City Directory, the property was occupied by Simpson & Shields Coal Co from 1936 to 1945, Baxter Coal Co in 1950, Toronto Coppersmithing Co from 1955 to 1970. Located downgradient.",None.
99,1285 Queen Street East,On-Site,"#33 - Metal Treatment,","Coating, Plating and Finishing 1285 Queen Street East, Toronto, Ontario PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",
100,Street East,Off-Site (240 m east),#10 - Commercial Autobody,"Shops Based on FIP from 1965, an auto body repair shop was observed. Inferred trans- gradient.",None.
101,Street East,Off-Site (250 m west),#28 - Gasoline and Associated,"Products Storage in Fixed Tanks Based on FIP from 1965, an auto service station and an UST were observed. Based on ERIS, the property was occupied by R A Nash, Nash Garage Ltd, Nash [William], Nash Battery & Service Garage and had ten (10) records of expired fuel tank 2001 and a retail storage tank in 1995, two (2) records of a gasoline tank and three (3) gasoline tanks in 1926 and 1934. The property was listed as having operations of full serve gasoline station, oil and natural gas service stations. None. Inferred trans- gradient.",
